trial_id,true_label,top_label,final_prediction,is_correct_accepted,is_correct_forced,confidence,margin,open_high_adc_total,posture_high_adc_total,prob_Open,prob_Fist,prob_IndexPoint,prob_ThumbUp,prob_Pinch,local_mean_Thumb,local_mean_Index,local_mean_Middle,local_mean_Ring,local_mean_Little,local_mean_ReverseHorizontal,local_mean_ReverseThumb
1,Fist,Fist,Fist,1,1,0.6771428571428572,0.4114285714285714,0,1,0.011428571428571429,0.6771428571428572,0.26571428571428574,0.03571428571428571,0.01,0.6323367966103579,0.8426561044857857,-0.39073950983059724,0.20021048172814562,0.46227696359868176,0.4391404793104297,1.5002412290223588
2,IndexPoint,IndexPoint,IndexPoint,1,1,0.5485714285714286,0.38857142857142857,0,1,0.08142857142857143,0.12714285714285714,0.5485714285714286,0.08285714285714285,0.16,0.061515108960892476,0.0556474758168016,-0.5718292078229348,0.04627696423464991,-0.2605274042400755,-0.15431174489882682,-0.021760789457896224
3,ThumbUp,Fist,Fist,0,0,0.49142857142857144,0.13,0,1,0.03,0.49142857142857144,0.36142857142857143,0.05285714285714286,0.06428571428571428,0.4244400712636989,0.30606187501055965,-0.42439712644627153,-0.03627515558736786,0.08752480589686829,0.12038853986300597,0.26322029964255933
4,Pinch,Fist,Fist,0,0,0.5314285714285715,0.30714285714285716,0,5,0.032857142857142856,0.5314285714285715,0.22428571428571428,0.08142857142857143,0.13,0.35627056241503346,0.2361797846882908,0.08859315409162893,0.1324010171207098,0.08244999820635364,0.15327580389243517,0.35124084991433696
5,Fist,Fist,Uncertain,0,1,0.33285714285714285,0.04285714285714287,1,1,0.13,0.33285714285714285,0.29,0.045714285714285714,0.20142857142857143,0.36921051233722374,0.10165659751889648,-0.4990686236047726,-0.0971465796984546,-0.100810218442634,1.9600063332981574,0.35894917453176756
6,ThumbUp,Fist,Uncertain,0,0,0.2742857142857143,0.04285714285714287,0,0,0.23142857142857143,0.2742857142857143,0.23,0.06142857142857143,0.20285714285714285,0.2113691684271854,-0.09968999047833334,-0.5837469296927458,0.05577907854473374,-0.11106512190087867,-0.07790990573304359,0.0975228485862519
7,IndexPoint,IndexPoint,IndexPoint,1,1,0.4757142857142857,0.26285714285714284,0,1,0.09,0.21285714285714286,0.4757142857142857,0.05285714285714286,0.16857142857142857,0.06035121034109291,0.20718975667196043,-0.21694856140133936,0.0901695350886506,-0.01857912499048764,0.22087191805502598,0.05361115778343108
8,Fist,Fist,Uncertain,0,1,0.43142857142857144,0.061428571428571443,0,2,0.06285714285714286,0.43142857142857144,0.37,0.05714285714285714,0.07857142857142857,0.43036291635687257,0.11704286711917032,-0.5190894369034088,0.06611779026987928,0.06865189443574744,0.5489412356788003,0.822521194731852
9,Pinch,Fist,Uncertain,0,0,0.28,0.0028571428571428914,0,0,0.15285714285714286,0.28,0.27714285714285714,0.06571428571428571,0.22428571428571428,0.22089239863446028,0.10749740144713264,-0.10066796458035616,-0.022050252422258144,-0.11520911469185736,-0.028450030706326113,0.008212801359502175
10,ThumbUp,IndexPoint,IndexPoint,0,0,0.4542857142857143,0.20714285714285716,0,0,0.09714285714285714,0.24714285714285714,0.4542857142857143,0.04428571428571428,0.15714285714285714,0.05112766078434749,0.1646452798616201,-0.1260741914966202,0.12143015821247298,0.03096951355145628,0.08917371875471873,0.10793766156694501
